date,geography,geography code,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: No qualifications,Highest level of qualification: Level 1 and entry level qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Proportion of Level 4 and above ,Proportion of Level 3,Proportion of Level 2,Proportion of Level 1 and entry,Proportion of None
2021,Wiltshire,E06000054,419114,60409,42756,62668,23327,76544,143201,10209,34.17%,18.26%,14.95%,10.20%,14.41%
2021,Bedford,E06000055,148118,24813,15366,19977,8263,23976,51411,4312,34.71%,16.19%,13.49%,10.37%,16.75%
2021,Central Bedfordshire,E06000056,236759,35598,24650,34892,14069,43107,78654,5789,33.22%,18.21%,14.74%,10.41%,15.04%
2021,Northumberland,E06000057,268846,48173,26051,38873,18624,47690,82653,6782,30.74%,17.74%,14.46%,9.69%,17.92%
2021,"Bournemouth, Christchurch and Poole",E06000058,334908,53317,33102,47335,20187,63771,107437,9759,32.08%,19.04%,14.13%,9.88%,15.92%
2021,Dorset,E06000059,321902,50834,33549,48267,21943,56884,101298,9127,31.47%,17.67%,14.99%,10.42%,15.79%
2021,Buckinghamshire,E06000060,443395,60981,39427,59473,21261,69811,181721,10721,40.98%,15.74%,13.41%,8.89%,13.75%
2021,North Northamptonshire,E06000061,289186,57682,34404,44428,18199,48272,77281,8920,26.72%,16.69%,15.36%,11.90%,19.95%
2021,West Northamptonshire,E06000062,343500,59804,37390,49213,19758,58081,109086,10168,31.76%,16.91%,14.33%,10.89%,17.41%
2021,Bolton,E08000001,232287,52451,24792,32352,14327,38190,63678,6497,27.41%,16.44%,13.93%,10.67%,22.58%
2021,Bury,E08000002,154873,28706,15069,22659,8605,25587,50036,4211,32.31%,16.52%,14.63%,9.73%,18.54%
2021,Manchester,E08000003,437958,86110,34988,45164,15322,79621,164763,11990,37.62%,18.18%,10.31%,7.99%,19.66%
2021,Oldham,E08000004,187035,46208,20672,26021,11939,30829,46023,5343,24.61%,16.48%,13.91%,11.05%,24.71%
2021,Rochdale,E08000005,174947,40649,18414,24559,10564,29467,46238,5056,26.43%,16.84%,14.04%,10.53%,23.24%
2021,Salford,E08000006,216923,42829,20027,27231,11687,36911,72678,5560,33.50%,17.02%,12.55%,9.23%,19.74%
2021,Stockport,E08000007,238927,37081,21831,32340,13923,38563,89741,5448,37.56%,16.14%,13.54%,9.14%,15.52%
2021,Tameside,E08000008,185135,40437,20811,28050,12776,32847,45214,5000,24.42%,17.74%,15.15%,11.24%,21.84%
2021,Trafford,E08000009,186151,25990,15309,23608,8931,28141,79961,4211,42.95%,15.12%,12.68%,8.22%,13.96%
2021,Wigan,E08000010,268694,56571,28257,41466,18997,47383,69357,6663,25.81%,17.63%,15.43%,10.52%,21.05%
2021,Knowsley,E08000011,124299,32600,13203,17898,6817,21411,29578,2792,23.80%,17.23%,14.40%,10.62%,26.23%
