date,geography,geography code,UK armed forces veteran indicator: Total: All usual residents,UK armed forces veteran indicator: Previously served in UK armed forces,UK armed forces veteran indicator: Previously served in UK reserve armed forces,UK armed forces veteran indicator: Previously served in both regular and reserve UK armed forces,UK armed forces veteran indicator: Has not previously served in any UK armed forces,Proportion
2021,Hammersmith and Fulham,E09000013,154628,1308,827,88,152405,0.85%
2021,Haringey,E09000014,216000,1053,746,50,214151,0.49%
2021,Harrow,E09000015,209621,1816,819,88,206898,0.87%
2021,Havering,E09000016,209730,3645,1243,183,204659,1.74%
2021,Hillingdon,E09000017,241877,3442,1210,178,237047,1.42%
2021,Hounslow,E09000018,228681,2416,925,150,225190,1.06%
2021,Islington,E09000019,183626,970,680,57,181919,0.53%
2021,Kensington and Chelsea,E09000020,123089,1327,600,94,121068,1.08%
2021,Kingston upon Thames,E09000021,135464,1801,752,105,132806,1.33%
2021,Lambeth,E09000022,268943,1678,1272,100,265893,0.62%
2021,Lewisham,E09000023,242411,1762,1049,114,239486,0.73%
2021,Merton,E09000024,172772,1911,859,118,169884,1.11%
2021,Newham,E09000025,276173,1213,791,60,274109,0.44%
2021,Redbridge,E09000026,242016,1810,897,94,239215,0.75%
2021,Richmond upon Thames,E09000027,155834,2285,1079,142,152328,1.47%
2021,Southwark,E09000028,256136,1566,1227,84,253259,0.61%
2021,Sutton,E09000029,165657,2408,1018,143,162088,1.45%
2021,Tower Hamlets,E09000030,252883,1067,808,57,250951,0.42%
2021,Waltham Forest,E09000031,222182,1560,840,75,219707,0.70%
2021,Wandsworth,E09000032,273558,2373,1602,162,269421,0.87%
2021,Westminster,E09000033,177467,1339,744,108,175276,0.75%
2021,Cambridgeshire,E10000003,559648,17862,3807,919,537060,3.19%
2021,Cumbria,E10000006,420040,16151,3829,896,399164,3.85%
2021,Derbyshire,E10000007,659820,20850,5050,1167,632753,3.16%
2021,Devon,E10000008,683469,32199,6006,1724,643540,4.71%
2021,East Sussex,E10000011,455639,16053,4145,975,434466,3.52%
2021,Essex,E10000012,1224175,32415,8911,1901,1180948,2.65%
2021,Gloucestershire,E10000013,532285,21818,4405,1195,504867,4.10%
2021,Hampshire,E10000014,1151127,60316,10008,2984,1077819,5.24%
2021,Hertfordshire,E10000015,959081,18632,6153,1064,933232,1.94%
2021,Kent,E10000016,1276567,40343,9922,2280,1224022,3.16%
2021,Lancashire,E10000017,1012923,34530,7745,1786,968862,3.41%
2021,Leicestershire,E10000018,587433,17684,4217,1012,564520,3.01%
2021,Lincolnshire,E10000019,640209,37704,5292,1814,595399,5.89%
2021,Norfolk,E10000020,767096,32431,6044,1619,727002,4.23%
2021,North Yorkshire,E10000023,516180,23981,4590,1260,486349,4.65%
2021,Nottinghamshire,E10000024,679071,23144,5594,1337,648996,3.41%
2021,Oxfordshire,E10000025,595033,18209,4283,1049,571492,3.06%
2021,Somerset,E10000027,474940,22603,4015,1284,447038,4.76%
2021,Staffordshire,E10000028,726398,23816,5587,1355,695640,3.28%
2021,Suffolk,E10000029,630362,24371,5202,1403,599386,3.87%
2021,Surrey,E10000030,972512,23769,7404,1423,939916,2.44%
2021,Warwickshire,E10000031,490563,14302,3677,815,471769,2.92%
2021,West Sussex,E10000032,727120,24374,6046,1441,695259,3.35%
2021,Worcestershire,E10000034,499359,16141,4121,1000,478097,3.23%
2021,Isle of Anglesey,W06000001,57144,2619,481,121,53923,4.58%
2021,Gwynedd,W06000002,97969,3214,796,167,93792,3.28%
2021,Conwy,W06000003,96363,4453,954,242,90714,4.62%
2021,Denbighshire,W06000004,78908,3344,746,219,74599,4.24%
2021,Flintshire,W06000005,127578,5249,1237,286,120806,4.11%
2021,Wrexham,W06000006,110274,3923,938,205,105208,3.56%
2021,Ceredigion,W06000008,61390,1851,537,137,58865,3.02%
2021,Pembrokeshire,W06000009,102552,4654,930,248,96720,4.54%
2021,Carmarthenshire,W06000010,155486,5610,1334,336,148206,3.61%
2021,Swansea,W06000011,197857,5839,1865,370,189783,2.95%
2021,Neath Port Talbot,W06000012,117182,3884,1010,231,112057,3.31%
2021,Bridgend,W06000013,119482,4773,870,219,113620,3.99%
2021,Vale of Glamorgan,W06000014,107457,4533,1111,248,101565,4.22%
2021,Cardiff,W06000015,296314,5851,2353,388,287722,1.97%
2021,Rhondda Cynon Taff,W06000016,193843,6174,1332,349,185988,3.19%
2021,Caerphilly,W06000018,143483,4744,1289,317,137133,3.31%
2021,Blaenau Gwent,W06000019,55146,1643,424,72,53007,2.98%
2021,Torfaen,W06000020,75114,2689,809,182,71434,3.58%
2021,Monmouthshire,W06000021,78239,3205,779,228,74027,4.10%
2021,Newport,W06000022,127425,3754,1176,216,122279,2.95%
2021,Powys,W06000023,112536,4485,960,291,106800,3.99%
2021,Merthyr Tydfil,W06000024,47680,1452,323,72,45833,3.05%
